id,name,price,barcode,stock_quantity,village,category,description
158,Food Items (Mukhomi),68.0,100154,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
159,Local Produce (Malamulele),20.0,100155,2,Malamulele,Agriculture,Available in Malamulele. Population: 1472
160,Handicrafts (Malamulele),21.0,100156,2,Malamulele,Agriculture,Available in Malamulele. Population: 1472
161,Services (Malamulele),22.0,100157,2,Malamulele,Agriculture,Available in Malamulele. Population: 1472
162,Food Items (Malamulele),23.0,100158,2,Malamulele,Agriculture,Available in Malamulele. Population: 1472
163,Household Goods (Malamulele),24.0,100159,2,Malamulele,Agriculture,Available in Malamulele. Population: 1472
164,Local Produce (Malamulele),25.0,100160,2,Malamulele,Agriculture,Available in Malamulele. Population: 1472
165,Handicrafts (Malamulele),26.0,100161,2,Malamulele,Agriculture,Available in Malamulele. Population: 1472
166,Services (Malamulele),27.0,100162,2,Malamulele,Agriculture,Available in Malamulele. Population: 1472
167,Food Items (Malamulele),28.0,100163,2,Malamulele,Agriculture,Available in Malamulele. Population: 1472
168,Household Goods (Malamulele),29.0,100164,2,Malamulele,Agriculture,Available in Malamulele. Population: 1472
169,Local Produce (Malamulele),30.0,100165,2,Malamulele,Agriculture,Available in Malamulele. Population: 1472
170,Handicrafts (Malamulele),31.0,100166,2,Malamulele,Agriculture,Available in Malamulele. Population: 1472
171,Services (Malamulele),32.0,100167,2,Malamulele,Agriculture,Available in Malamulele. Population: 1472
172,Food Items (Malamulele),33.0,100168,2,Malamulele,Agriculture,Available in Malamulele. Population: 1472
173,Household Goods (Malamulele),34.0,100169,2,Malamulele,Agriculture,Available in Malamulele. Population: 1472
174,Local Produce (Malamulele),35.0,100170,2,Malamulele,Agriculture,Available in Malamulele. Population: 1472
175,Handicrafts (Malamulele),36.0,100171,2,Malamulele,Agriculture,Available in Malamulele. Population: 1472
176,Services (Malamulele),37.0,100172,2,Malamulele,Agriculture,Available in Malamulele. Population: 1472
177,Food Items (Malamulele),38.0,100173,2,Malamulele,Agriculture,Available in Malamulele. Population: 1472
178,Household Goods (Malamulele),39.0,100174,2,Malamulele,Agriculture,Available in Malamulele. Population: 1472
179,Livestock (Gundo),20.0,100175,9,Gundo,Agriculture,Available in Gundo. Population: 4822
180,Animal Feed (Gundo),21.0,100176,9,Gundo,Agriculture,Available in Gundo. Population: 4822
181,Veterinary Services (Gundo),22.0,100177,9,Gundo,Agriculture,Available in Gundo. Population: 4822
182,Meat Products (Gundo),23.0,100178,9,Gundo,Agriculture,Available in Gundo. Population: 4822
183,Leather Goods (Gundo),24.0,100179,9,Gundo,Agriculture,Available in Gundo. Population: 4822
184,Livestock (Gundo),25.0,100180,9,Gundo,Agriculture,Available in Gundo. Population: 4822
185,Animal Feed (Gundo),26.0,100181,9,Gundo,Agriculture,Available in Gundo. Population: 4822
186,Veterinary Services (Gundo),27.0,100182,9,Gundo,Agriculture,Available in Gundo. Population: 4822
187,Meat Products (Gundo),28.0,100183,9,Gundo,Agriculture,Available in Gundo. Population: 4822
188,Leather Goods (Gundo),29.0,100184,9,Gundo,Agriculture,Available in Gundo. Population: 4822
189,Livestock (Gundo),30.0,100185,9,Gundo,Agriculture,Available in Gundo. Population: 4822
190,Animal Feed (Gundo),31.0,100186,9,Gundo,Agriculture,Available in Gundo. Population: 4822
191,Veterinary Services (Gundo),32.0,100187,9,Gundo,Agriculture,Available in Gundo. Population: 4822
192,Meat Products (Gundo),33.0,100188,9,Gundo,Agriculture,Available in Gundo. Population: 4822
193,Leather Goods (Gundo),34.0,100189,9,Gundo,Agriculture,Available in Gundo. Population: 4822
194,Livestock (Gundo),35.0,100190,9,Gundo,Agriculture,Available in Gundo. Population: 4822
195,Animal Feed (Gundo),36.0,100191,9,Gundo,Agriculture,Available in Gundo. Population: 4822
196,Veterinary Services (Gundo),37.0,100192,9,Gundo,Agriculture,Available in Gundo. Population: 4822
197,Meat Products (Gundo),38.0,100193,9,Gundo,Agriculture,Available in Gundo. Population: 4822
198,Leather Goods (Gundo),39.0,100194,9,Gundo,Agriculture,Available in Gundo. Population: 4822
199,Livestock (Gundo),40.0,100195,9,Gundo,Agriculture,Available in Gundo. Population: 4822
200,Animal Feed (Gundo),41.0,100196,9,Gundo,Agriculture,Available in Gundo. Population: 4822
201,Veterinary Services (Gundo),42.0,100197,9,Gundo,Agriculture,Available in Gundo. Population: 4822
202,Meat Products (Gundo),43.0,100198,9,Gundo,Agriculture,Available in Gundo. Population: 4822
203,Leather Goods (Gundo),44.0,100199,9,Gundo,Agriculture,Available in Gundo. Population: 4822
204,Livestock (Gundo),45.0,100200,9,Gundo,Agriculture,Available in Gundo. Population: 4822
205,Animal Feed (Gundo),46.0,100201,9,Gundo,Agriculture,Available in Gundo. Population: 4822
206,Veterinary Services (Gundo),47.0,100202,9,Gundo,Agriculture,Available in Gundo. Population: 4822
207,Meat Products (Gundo),48.0,100203,9,Gundo,Agriculture,Available in Gundo. Population: 4822
208,Leather Goods (Gundo),49.0,100204,9,Gundo,Agriculture,Available in Gundo. Population: 4822
209,Livestock (Gundo),50.0,100205,9,Gundo,Agriculture,Available in Gundo. Population: 4822
210,Animal Feed (Gundo),51.0,100206,9,Gundo,Agriculture,Available in Gundo. Population: 4822
211,Veterinary Services (Gundo),52.0,100207,9,Gundo,Agriculture,Available in Gundo. Population: 4822
212,Meat Products (Gundo),53.0,100208,9,Gundo,Agriculture,Available in Gundo. Population: 4822
213,Leather Goods (Gundo),54.0,100209,9,Gundo,Agriculture,Available in Gundo. Population: 4822
214,Livestock (Gundo),55.0,100210,9,Gundo,Agriculture,Available in Gundo. Population: 4822
215,Animal Feed (Gundo),56.0,100211,9,Gundo,Agriculture,Available in Gundo. Population: 4822
216,Veterinary Services (Gundo),57.0,100212,9,Gundo,Agriculture,Available in Gundo. Population: 4822
217,Meat Products (Gundo),58.0,100213,9,Gundo,Agriculture,Available in Gundo. Population: 4822
218,Leather Goods (Gundo),59.0,100214,9,Gundo,Agriculture,Available in Gundo. Population: 4822
219,Livestock (Gundo),60.0,100215,9,Gundo,Agriculture,Available in Gundo. Population: 4822
220,Animal Feed (Gundo),61.0,100216,9,Gundo,Agriculture,Available in Gundo. Population: 4822
221,Veterinary Services (Gundo),62.0,100217,9,Gundo,Agriculture,Available in Gundo. Population: 4822
222,Meat Products (Gundo),63.0,100218,9,Gundo,Agriculture,Available in Gundo. Population: 4822
223,Leather Goods (Gundo),64.0,100219,9,Gundo,Agriculture,Available in Gundo. Population: 4822
224,Livestock (Gundo),65.0,100220,9,Gundo,Agriculture,Available in Gundo. Population: 4822
225,Animal Feed (Gundo),66.0,100221,9,Gundo,Agriculture,Available in Gundo. Population: 4822
226,Veterinary Services (Gundo),67.0,100222,9,Gundo,Agriculture,Available in Gundo. Population: 4822
227,Local Produce (Makhuvha),20.0,100223,6,Makhuvha,Agriculture,Available in Makhuvha. Population: 3286
228,Handicrafts (Makhuvha),21.0,100224,6,Makhuvha,Agriculture,Available in Makhuvha. Population: 3286
229,Services (Makhuvha),22.0,100225,6,Makhuvha,Agriculture,Available in Makhuvha. Population: 3286
230,Food Items (Makhuvha),23.0,100226,6,Makhuvha,Agriculture,Available in Makhuvha. Population: 3286
231,Household Goods (Makhuvha),24.0,100227,6,Makhuvha,Agriculture,Available in Makhuvha. Population: 3286
232,Local Produce (Makhuvha),25.0,100228,6,Makhuvha,Agriculture,Available in Makhuvha. Population: 3286
233,Handicrafts (Makhuvha),26.0,100229,6,Makhuvha,Agriculture,Available in Makhuvha. Population: 3286
234,Services (Makhuvha),27.0,100230,6,Makhuvha,Agriculture,Available in Makhuvha. Population: 3286
235,Food Items (Makhuvha),28.0,100231,6,Makhuvha,Agriculture,Available in Makhuvha. Population: 3286
236,Household Goods (Makhuvha),29.0,100232,6,Makhuvha,Agriculture,Available in Makhuvha. Population: 3286
237,Local Produce (Makhuvha),30.0,100233,6,Makhuvha,Agriculture,Available in Makhuvha. Population: 3286
238,Handicrafts (Makhuvha),31.0,100234,6,Makhuvha,Agriculture,Available in Makhuvha. Population: 3286
239,Services (Makhuvha),32.0,100235,6,Makhuvha,Agriculture,Available in Makhuvha. Population: 3286
240,Food Items (Makhuvha),33.0,100236,6,Makhuvha,Agriculture,Available in Makhuvha. Population: 3286
241,Household Goods (Makhuvha),34.0,100237,6,Makhuvha,Agriculture,Available in Makhuvha. Population: 3286
242,Local Produce (Makhuvha),35.0,100238,6,Makhuvha,Agriculture,Available in Makhuvha. Population: 3286
243,Handicrafts (Makhuvha),36.0,100239,6,Makhuvha,Agriculture,Available in Makhuvha. Population: 3286
244,Services (Makhuvha),37.0,100240,6,Makhuvha,Agriculture,Available in Makhuvha. Population: 3286
245,Food Items (Makhuvha),38.0,100241,6,Makhuvha,Agriculture,Available in Makhuvha. Population: 3286
246,Household Goods (Makhuvha),39.0,100242,6,Makhuvha,Agriculture,Available in Makhuvha. Population: 3286
247,Local Produce (Makhuvha),40.0,100243,6,Makhuvha,Agriculture,Available in Makhuvha. Population: 3286
248,Handicrafts (Makhuvha),41.0,100244,6,Makhuvha,Agriculture,Available in Makhuvha. Population: 3286
249,Services (Makhuvha),42.0,100245,6,Makhuvha,Agriculture,Available in Makhuvha. Population: 3286
250,Food Items (Makhuvha),43.0,100246,6,Makhuvha,Agriculture,Available in Makhuvha. Population: 3286
251,Household Goods (Makhuvha),44.0,100247,6,Makhuvha,Agriculture,Available in Makhuvha. Population: 3286
252,Local Produce (Makhuvha),45.0,100248,6,Makhuvha,Agriculture,Available in Makhuvha. Population: 3286
253,Handicrafts (Makhuvha),46.0,100249,6,Makhuvha,Agriculture,Available in Makhuvha. Population: 3286
254,Services (Makhuvha),47.0,100250,6,Makhuvha,Agriculture,Available in Makhuvha. Population: 3286
255,Food Items (Makhuvha),48.0,100251,6,Makhuvha,Agriculture,Available in Makhuvha. Population: 3286
256,Household Goods (Makhuvha),49.0,100252,6,Makhuvha,Agriculture,Available in Makhuvha. Population: 3286
257,Local Produce (Makhuvha),50.0,100253,6,Makhuvha,Agriculture,Available in Makhuvha. Population: 3286
258,Handicrafts (Makhuvha),51.0,100254,6,Makhuvha,Agriculture,Available in Makhuvha. Population: 3286
259,Local Produce (Folovhodwe),20.0,100255,1,Folovhodwe,Agriculture,Available in Folovhodwe. Population: 514
260,Handicrafts (Folovhodwe),21.0,100256,1,Folovhodwe,Agriculture,Available in Folovhodwe. Population: 514
261,Services (Folovhodwe),22.0,100257,1,Folovhodwe,Agriculture,Available in Folovhodwe. Population: 514
262,Food Items (Folovhodwe),23.0,100258,1,Folovhodwe,Agriculture,Available in Folovhodwe. Population: 514
263,Household Goods (Folovhodwe),24.0,100259,1,Folovhodwe,Agriculture,Available in Folovhodwe. Population: 514
264,Local Produce (Folovhodwe),25.0,100260,1,Folovhodwe,Agriculture,Available in Folovhodwe. Population: 514
265,Handicrafts (Folovhodwe),26.0,100261,1,Folovhodwe,Agriculture,Available in Folovhodwe. Population: 514
266,Services (Folovhodwe),27.0,100262,1,Folovhodwe,Agriculture,Available in Folovhodwe. Population: 514
267,Food Items (Folovhodwe),28.0,100263,1,Folovhodwe,Agriculture,Available in Folovhodwe. Population: 514
268,Household Goods (Folovhodwe),29.0,100264,1,Folovhodwe,Agriculture,Available in Folovhodwe. Population: 514
269,Local Produce (Folovhodwe),30.0,100265,1,Folovhodwe,Agriculture,Available in Folovhodwe. Population: 514
270,Handicrafts (Folovhodwe),31.0,100266,1,Folovhodwe,Agriculture,Available in Folovhodwe. Population: 514
271,Services (Folovhodwe),32.0,100267,1,Folovhodwe,Agriculture,Available in Folovhodwe. Population: 514
272,Food Items (Folovhodwe),33.0,100268,1,Folovhodwe,Agriculture,Available in Folovhodwe. Population: 514
